Industry,Firms,Clustering
0,9,BERT
1,12,BERT
2,24,BERT
3,14,BERT
4,16,BERT
5,8,BERT
6,7,BERT
7,8,BERT
8,16,BERT
9,8,BERT
10,28,BERT
11,20,BERT
12,13,BERT
13,12,BERT
14,6,BERT
15,33,BERT
16,16,BERT
17,17,BERT
18,14,BERT
19,10,BERT
20,8,BERT
21,21,BERT
22,4,BERT
23,7,BERT
24,4,BERT
25,12,BERT
26,7,BERT
27,9,BERT
28,5,BERT
29,9,BERT
30,7,BERT
31,10,BERT
32,12,BERT
33,16,BERT
34,10,BERT
35,9,BERT
36,8,BERT
37,9,BERT
38,37,BERT
39,5,BERT
40,15,BERT
41,12,BERT
42,8,BERT
43,13,BERT
44,16,BERT
45,12,BERT
46,19,BERT
47,33,BERT
48,26,BERT
49,6,BERT
50,8,BERT
51,18,BERT
52,30,BERT
53,3,BERT
54,4,BERT
55,9,BERT
56,10,BERT
57,6,BERT
58,10,BERT
59,12,BERT
60,33,BERT
61,6,BERT
62,6,BERT
63,5,BERT
64,8,BERT
65,11,BERT
66,5,BERT
67,12,BERT
68,13,BERT
69,13,BERT
70,23,BERT
71,8,BERT
72,6,BERT
73,23,BERT
74,22,BERT
75,8,BERT
76,16,BERT
77,24,BERT
78,15,BERT
79,5,BERT
80,4,BERT
81,7,BERT
82,8,BERT
83,23,BERT
84,16,BERT
85,6,BERT
86,12,BERT
87,14,BERT
88,7,BERT
89,14,BERT
90,8,BERT
91,6,BERT
92,8,BERT
93,11,BERT
94,15,BERT
95,9,BERT
96,6,BERT
97,5,BERT
98,6,BERT
99,4,BERT
100,7,BERT
101,8,BERT
102,17,BERT
103,4,BERT
104,10,BERT
105,8,BERT
106,5,BERT
107,8,BERT
108,13,BERT
109,8,BERT
110,11,BERT
111,6,BERT
112,18,BERT
113,12,BERT
114,18,BERT
115,5,BERT
116,13,BERT
117,12,BERT
118,5,BERT
119,4,BERT
120,5,BERT
121,22,BERT
122,4,BERT
123,8,BERT
124,6,BERT
125,9,BERT
126,6,BERT
127,4,BERT
128,20,BERT
129,3,BERT
130,4,BERT
131,16,BERT
132,27,BERT
133,9,BERT
134,6,BERT
135,14,BERT
136,6,BERT
137,11,BERT
138,13,BERT
139,15,BERT
140,6,BERT
141,8,BERT
142,4,BERT
143,7,BERT
144,3,BERT
145,6,BERT
146,10,BERT
147,14,BERT
148,20,BERT
149,15,BERT
150,4,BERT
151,9,BERT
152,4,BERT
153,8,BERT
154,5,BERT
155,6,BERT
156,6,BERT
157,5,BERT
158,4,BERT
159,5,BERT
160,8,BERT
161,6,BERT
162,4,BERT
163,13,BERT
164,11,BERT
165,10,BERT
166,15,BERT
167,6,BERT
168,17,BERT
169,9,BERT
170,6,BERT
171,3,BERT
172,2,BERT
173,6,BERT
174,11,BERT
175,8,BERT
176,7,BERT
177,17,BERT
178,10,BERT
179,5,BERT
180,10,BERT
181,6,BERT
182,6,BERT
183,2,BERT
184,9,BERT
185,8,BERT
186,6,BERT
187,5,BERT
188,6,BERT
189,4,BERT
190,38,BERT
191,4,BERT
192,12,BERT
193,2,BERT
194,2,BERT
195,11,BERT
196,12,BERT
197,24,BERT
198,6,BERT
199,7,BERT
200,4,BERT
201,4,BERT
202,4,BERT
203,4,BERT
204,7,BERT
205,4,BERT
206,4,BERT
207,3,BERT
208,4,BERT
209,4,BERT
210,7,BERT
211,2,BERT
212,5,BERT
213,4,BERT
