"","cik","Score","year","distance","cik_str","sic","Revenue","Total.Assets","MV","TobinsQ_1","TobinsQ_2","TobinsQ.before","RevenueGrowth","RevenueGrowthAbs","TobinsQGrowth","AssetGrowth","MVGrowth","FirmSize","NormalizedDistance","Industry"
"1",1800,0.913421213626862,2017,0.0865787863731384,1800,"2834",27390000,74306000,91128.81,1.495,1.656,1.767,31.35,6537000,-30.63,47.4,51.16,"Micro_Nano_Cap",-16.6212299554004,82
"2",2098,0.915391147136688,2017,0.0846088528633118,2098,"3420",130550,114220,82.71,1.051,1.149,1.036,4.8,5976,2.88,24.97,19.9,"Micro_Nano_Cap",-18.5183532577657,1
"3",2186,0.894933640956879,2017,0.105066359043121,2186,"3663",39395,39484,55.38,0.883,1.315,1.641,-22.28,-11294,-91.92,0.91,-24.11,"Micro_Nano_Cap",1.18302828044368,271
"4",2488,0.915337443351746,2017,0.0846625566482544,2488,"3674",5329000,3540000,11882.07,3.584,4.197,1.781,24.74,1057000,201.46,6.59,125.02,"Micro_Nano_Cap",-18.4666344046512,55
"5",3116,0.907187521457672,2017,0.0928124785423279,3116,"",841045,1902990,4129.74,2.259,2.609,2.069,-24.69,-275798,18.27,-3.32,12.14,"Micro_Nano_Cap",-10.6179396844602,82
"6",3197,0.901942312717438,2017,0.0980576872825623,3197,"3564",345051,438549,267.77,0.854,0.956,0.853,-17.26,-71960,0.23,-12.05,-26.99,"Micro_Nano_Cap",-5.56659775985666,117
"7",3453,0.897189319133759,2017,0.102810680866241,3453,"4400",2046900,2247500,1121.27,0.928,0.903,1.208,5.42,105300,-46.13,11.51,-31.66,"Micro_Nano_Cap",-0.989278353586953,225
"8",4187,0.88993102312088,2017,0.11006897687912,4187,"",54935,21840,14.13,0.92,1.015,0.85,50.49,18430,16.39,4.85,1.22,"Micro_Nano_Cap",6.00074564103428,152
"9",4281,0.897390365600586,2017,0.102609634399414,4281,"3350",12960000,17975000,11016.95,0.938,1.111,0.66,4.57,566000,83.82,-4.41,-12.76,"Micro_Nano_Cap",-1.1828939934925,22
"10",4904,0.888391435146332,2017,0.111608564853668,4904,"4911",15424900,64729100,36666.7,0.869,0.908,0.85,-5.83,-955200,4.45,1.99,17.05,"Micro_Nano_Cap",7.48342929913097,38
"11",5981,0.89521187543869,2017,0.10478812456131,5981,"2870",355047,535592,619.5,1.558,1.451,1.1,13.76,42934,82.86,24.57,35.48,"Micro_Nano_Cap",0.915077551988563,119
"12",6176,0.865230560302734,2017,0.134769439697266,6176,"3561",432401,564009,202.09,0.448,0.507,0.236,30.29,100535,178.76,0.52,55.08,"Micro_Nano_Cap",29.7882609849584,93
"13",6201,0.911121010780334,2017,0.0888789892196655,6201,"4512",42207000,50969000,22334.23,0.797,0.995,0.705,5.04,2027000,25.97,2.4,9.5,"Micro_Nano_Cap",-14.4060443166234,225
"14",7039,0.853804647922516,2017,0.146195352077484,7039,"",245143,327326,309.87,1.331,1.249,1.226,15.42,32744,17.04,12.06,9.67,"Micro_Nano_Cap",40.791863146741,119
"15",7084,0.914030432701111,2017,0.0859695672988892,7084,"2070",60839000,39963000,24070.45,0.768,0.807,0.747,-2.42,-1512000,5.59,0.49,-1.53,"Micro_Nano_Cap",-17.2079318396205,12
"16",7431,0.883398294448853,2017,0.116601705551147,7431,"3089",893600,1853900,2559.82,1.895,1.979,1.75,-27.61,-340900,16.49,6.39,12.14,"Micro_Nano_Cap",12.2920198032896,135
"17",7536,0.921088039875031,2017,0.0789119601249695,7536,"5065",26812508,16462809,6880.84,0.645,0.645,0.623,12.54,2987247,7.03,15.88,21,"Micro_Nano_Cap",-24.0046846040129,128
"18",7623,0.912983119487762,2017,0.0870168805122375,7623,"3523",20715,23478,8.95,0.569,0.656,0.654,-3.91,-843,-25.86,-13.82,-26.82,"Micro_Nano_Cap",-16.1993281014704,147
"19",8063,0.89560329914093,2017,0.10439670085907,8063,"3728",624464,735956,596.78,1.553,1.541,2.355,-1.37,-8659,-67.77,21.78,-27.98,"Micro_Nano_Cap",0.538121160865024,22
"20",8328,0.878785490989685,2017,0.121214509010315,8328,"",2445,3324,4.01,9.578,13.757,5.711,-39.07,-1568,134.75,-45.33,-73.57,"Micro_Nano_Cap",16.7343306163017,118
"21",8868,0.905660510063171,2017,0.0943394899368286,8868,"",5715600,3494100,1077.88,0.812,0.978,1.175,-0.04,-2100,-61.48,7.29,-57.77,"Micro_Nano_Cap",-9.14736776665999,157
"22",9092,0.9061319231987,2017,0.0938680768013,9092,"3824",402440,388871,1315.91,3.777,3.963,2.847,2.2,8679,65.01,11.42,40.34,"Micro_Nano_Cap",-9.60135712213372,128
"23",9326,0.904087424278259,2017,0.0959125757217407,9326,"2800",594790,963636,2415.07,2.922,2.959,2.878,7.52,41586,3.04,1.58,14.76,"Micro_Nano_Cap",-7.63242440218116,16
"24",9389,0.900943875312805,2017,0.0990561246871948,9389,"3411",10983000,16844000,14402.07,1.299,1.298,1.314,21.21,1922000,-2.27,7.08,6.25,"Micro_Nano_Cap",-4.60506334418582,63
